#        TEM  CP(ARMADA)   CP(JAMRT)        DIFF
    1418.410      30.454      30.528      -0.074
    1429.170      30.494      30.567      -0.073
    1440.000      30.535      30.607      -0.072
    1450.900      30.576      30.646      -0.071
    1461.860      30.617      30.686      -0.069
    1472.900      30.658      30.726      -0.068
    1484.000      30.699      30.766      -0.067
    1495.170      30.741      30.807      -0.066
    1506.400      30.783      30.847      -0.065
    1517.710      30.824      30.888      -0.063
    1529.070      30.866      30.929      -0.063
    1540.520      30.909      30.970      -0.061
    1552.040      30.951      31.011      -0.060
    1563.630      30.993      31.052      -0.059
    1575.290      31.036      31.094      -0.058
    1587.020      31.078      31.135      -0.057
    1598.820      31.121      31.177      -0.056
    1610.690      31.164      31.219      -0.055
    1622.640      31.207      31.260      -0.054
    1634.650      31.250      31.302      -0.053
    1646.740      31.293      31.344      -0.052
    1658.900      31.336      31.386      -0.050
    1671.130      31.379      31.428      -0.049
    1683.430      31.422      31.470      -0.048
    1695.810      31.466      31.512      -0.047
    1708.260      31.509      31.554      -0.045
    1720.790      31.552      31.597      -0.044
    1733.390      31.596      31.639      -0.043
    1746.060      31.639      31.681      -0.042
    1758.810      31.683      31.723      -0.040
    1771.630      31.727      31.765      -0.038
    1784.530      31.770      31.807      -0.037
    1797.510      31.814      31.849      -0.035
    1810.560      31.857      31.891      -0.034
    1823.690      31.901      31.933      -0.032
    1836.900      31.944      31.975      -0.030
    1850.180      31.988      32.017      -0.029
    1863.550      32.032      32.058      -0.027
    1876.990      32.075      32.100      -0.025
    1890.510      32.119      32.142      -0.023
    1904.100      32.162      32.183      -0.021
    1917.780      32.206      32.225      -0.019
    1931.540      32.249      32.266      -0.017
    1945.370      32.293      32.307      -0.014
    1959.260      32.336      32.348      -0.012
    1973.270      32.379      32.389      -0.010
    1987.350      32.423      32.430      -0.007
    2001.520      32.466      32.471      -0.005
    2015.770      32.509      32.511      -0.002
    2030.100      32.552      32.552       0.000
    2044.510      32.595      32.592       0.003
    2059.000      32.638      32.633       0.006
    2073.580      32.681      32.673       0.009
    2088.240      32.724      32.713       0.012
