# TEM     PRE          CP           Z
 2267.92  9.59363e+09  3.31748e+08  1.57625
 2267.82  9.59188e+09  3.31746e+08  1.57618
 2267.72  9.59012e+09  3.31744e+08  1.57612
 2267.63  9.58837e+09  3.31741e+08  1.57606
 2267.53  9.58662e+09  3.31739e+08  1.57599
 2267.43  9.58486e+09  3.31736e+08  1.57593
 2267.33  9.58311e+09  3.31734e+08  1.57587
 2267.24  9.58136e+09  3.31732e+08  1.5758
 2267.14  9.5796e+09  3.31729e+08  1.57574
 2267.04  9.57785e+09  3.31727e+08  1.57568
 2266.94  9.5761e+09  3.31725e+08  1.57561
 2266.84  9.57434e+09  3.31722e+08  1.57555
 2266.75  9.57259e+09  3.3172e+08  1.57549
 2266.65  9.57084e+09  3.31718e+08  1.57542
 2266.55  9.56909e+09  3.31715e+08  1.57536
 2266.45  9.56733e+09  3.31713e+08  1.5753
 2266.36  9.56558e+09  3.3171e+08  1.57523
 2266.26  9.56383e+09  3.31708e+08  1.57517
 2266.16  9.56208e+09  3.31706e+08  1.57511
 2266.06  9.56033e+09  3.31703e+08  1.57504
 2265.97  9.55858e+09  3.31701e+08  1.57498
 2265.87  9.55683e+09  3.31699e+08  1.57492
 2265.77  9.55508e+09  3.31696e+08  1.57486
 2265.67  9.55332e+09  3.31694e+08  1.57479
 2265.57  9.55157e+09  3.31692e+08  1.57473
 2265.48  9.54982e+09  3.31689e+08  1.57467
 2265.38  9.54807e+09  3.31687e+08  1.5746
 2265.28  9.54632e+09  3.31684e+08  1.57454
 2265.18  9.54457e+09  3.31682e+08  1.57448
 2265.09  9.54282e+09  3.3168e+08  1.57441
 2264.99  9.54108e+09  3.31677e+08  1.57435
 2264.89  9.53933e+09  3.31675e+08  1.57429
 2264.79  9.53758e+09  3.31673e+08  1.57422
 2264.69  9.53583e+09  3.3167e+08  1.57416
 2264.6  9.53408e+09  3.31668e+08  1.5741
 2264.5  9.53233e+09  3.31666e+08  1.57403
 2264.4  9.53058e+09  3.31663e+08  1.57397
 2264.3  9.52884e+09  3.31661e+08  1.57391
 2264.21  9.52709e+09  3.31658e+08  1.57384
 2264.11  9.52534e+09  3.31656e+08  1.57378
 2264.01  9.52359e+09  3.31654e+08  1.57372
 2263.91  9.52184e+09  3.31651e+08  1.57365
 2263.81  9.5201e+09  3.31649e+08  1.57359
 2263.72  9.51835e+09  3.31646e+08  1.57353
 2263.62  9.5166e+09  3.31644e+08  1.57346
 2263.52  9.51486e+09  3.31642e+08  1.5734
 2263.42  9.51311e+09  3.31639e+08  1.57334
 2263.32  9.51136e+09  3.31637e+08  1.57327
 2263.23  9.50962e+09  3.31634e+08  1.57321
 2263.13  9.50787e+09  3.31632e+08  1.57314
 2263.03  9.50613e+09  3.3163e+08  1.57308
 2262.93  9.50438e+09  3.31627e+08  1.57302
 2262.84  9.50263e+09  3.31625e+08  1.57295
 2262.74  9.50089e+09  3.31622e+08  1.57289
 2262.64  9.49914e+09  3.3162e+08  1.57283
 2262.54  9.4974e+09  3.31617e+08  1.57276
 2262.44  9.49565e+09  3.31615e+08  1.5727
 2262.35  9.49391e+09  3.31613e+08  1.57264
 2262.25  9.49216e+09  3.3161e+08  1.57258
 2262.15  9.49042e+09  3.31608e+08  1.57251
 2262.05  9.48868e+09  3.31605e+08  1.57245
 2261.95  9.48693e+09  3.31603e+08  1.57239
 2261.86  9.48519e+09  3.31601e+08  1.57232
 2261.76  9.48344e+09  3.31598e+08  1.57226
 2261.66  9.4817e+09  3.31596e+08  1.5722
 2261.56  9.47996e+09  3.31593e+08  1.57213
 2261.46  9.47822e+09  3.31591e+08  1.57207
