# Atmospheric vertical profile: 800 17
 IDX       PRE       TEM       TED       DRY         NH3         H2O         H2S      NH3(l)      NH3(s)      H2O(l)      H2O(s)    NH4SH(s)   ENTROPY       CPT     THETA    THETAV
  98   1695.69    1472.9    1472.9   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.6579    2095.6   2049.37
  99   1672.37   1467.37   1467.37   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.6373    2095.6   2049.37
 100   1649.36   1461.86   1461.86   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.6167    2095.6   2049.37
 101   1626.67   1456.37   1456.37   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.5962    2095.6   2049.37
 102   1604.29    1450.9    1450.9   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.5757    2095.6   2049.37
 103   1582.22   1445.44   1445.44   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.5552    2095.6   2049.37
 104   1560.45      1440      1440   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.5348    2095.6   2049.37
 105   1538.99   1434.58   1434.58   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.5144    2095.6   2049.37
 106   1517.81   1429.17   1429.17   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.4941    2095.6   2049.37
 107   1496.93   1423.78   1423.78   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.4739    2095.6   2049.37
 108   1476.34   1418.41   1418.41   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.4536    2095.6   2049.37
 109   1456.03   1413.05   1413.05   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.4335    2095.6   2049.37
 110      1436   1407.72   1407.72   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.4134    2095.6   2049.37
 111   1416.24   1402.39   1402.39   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.3933    2095.6   2049.37
 112   1396.76   1397.09   1397.09   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.3733    2095.6   2049.37
 113   1377.54    1391.8    1391.8   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.3533    2095.6   2049.37
 114   1358.59   1386.52   1386.52   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.3334    2095.6   2049.37
 115    1339.9   1381.27   1381.27   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.3136    2095.6   2049.37
 116   1321.47   1376.03   1376.03   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.2938    2095.6   2049.37
 117   1303.29    1370.8    1370.8   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.2741    2095.6   2049.37
 118   1285.36    1365.6    1365.6   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.2544    2095.6   2049.37
 119   1267.68   1360.41   1360.41   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.2348    2095.6   2049.37
 120   1250.24   1355.23   1355.23   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.2152    2095.6   2049.37
 121   1233.04   1350.07   1350.07   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.1957    2095.6   2049.37
 122   1216.07   1344.93   1344.93   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.1763    2095.6   2049.37
 123   1199.34   1339.81   1339.81   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.1569    2095.6   2049.37
 124   1182.85    1334.7    1334.7   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.1376    2095.6   2049.37
 125   1166.57    1329.6    1329.6   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.1184    2095.6   2049.37
 126   1150.52   1324.53   1324.53   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.0992    2095.6   2049.37
 127    1134.7   1319.46   1319.46   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.0801    2095.6   2049.37
 128   1119.09   1314.42   1314.42   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.0611    2095.6   2049.37
 129   1103.69   1309.39   1309.39   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.0421    2095.6   2049.37
 130   1088.51   1304.38   1304.38   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.0232    2095.6   2049.37
 131   1073.53   1299.38   1299.38   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   30.0044    2095.6   2049.37
 132   1058.76    1294.4    1294.4   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.9856    2095.6   2049.37
 133    1044.2   1289.43   1289.43   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.9669    2095.6   2049.37
 134   1029.83   1284.48   1284.48   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.9483    2095.6   2049.37
 135   1015.66   1279.55   1279.55   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.9298    2095.6   2049.37
 136   1001.69   1274.65   1274.65   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.9114    2095.6   2049.37
 137   987.912   1269.75   1269.75   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603    29.893    2095.6   2049.37
 138   974.321   1264.86   1264.86   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.8747    2095.6   2049.37
 139   960.917   1259.99   1259.99   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.8565    2095.6   2049.37
 140   947.697   1255.14   1255.14   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.8383    2095.6   2049.37
 141    934.66    1250.3    1250.3   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.8203    2095.6   2049.37
 142   921.801   1245.48   1245.48   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.8023    2095.6   2049.37
 143    909.12   1240.68   1240.68   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.7844    2095.6   2049.37
 144   896.613   1235.89   1235.89   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.7666    2095.6   2049.37
 145   884.278   1231.11   1231.11   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.7489    2095.6   2049.37
 146   872.113   1226.36   1226.36   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.7312    2095.6   2049.37
 147   860.115   1221.61   1221.61   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.7137    2095.6   2049.37
 148   848.283   1216.88   1216.88   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.6962    2095.6   2049.37
 149   836.613   1212.17   1212.17   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.6788    2095.6   2049.37
 150   825.103   1207.48   1207.48   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.6615    2095.6   2049.37
 151   813.752   1202.79   1202.79   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.6443    2095.6   2049.37
 152   802.557   1198.13   1198.13   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.6272    2095.6   2049.37
 153   791.516   1193.48   1193.48   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.6102    2095.6   2049.37
 154   780.627   1188.84   1188.84   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.5933    2095.6   2049.37
 155   769.888   1184.22   1184.22   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.5765    2095.6   2049.37
 156   759.296   1179.62   1179.62   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.5597    2095.6   2049.37
 157   748.851   1175.03   1175.03   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.5431    2095.6   2049.37
 158   738.549   1170.46   1170.46   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.5266    2095.6   2049.37
 159   728.388    1165.9    1165.9   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.5101    2095.6   2049.37
 160   718.368   1161.36   1161.36   0.99673  0.00035288   0.0028375  7.6609e-05           0           0           0           0           0  -16.1603   29.4938    2095.6   2049.37
